Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	"Density (v, mol/m3)"	"Volume (v, m3/mol)"	"Internal Energy (v, kJ/mol)"	"Enthalpy (v, kJ/mol)"	"Entropy (v, J/mol*K)"	"Cv (v, J/mol*K)"	"Cp (v, J/mol*K)"
623	16.4990102	31934.45368	3.13E-05	29.56279148	30.07944382	68.03436039	56.52512577	181.5018947	6285.755114	0.00015909	43.57801777	46.20284325	93.9146163	67.34853309	299.0284187
624	16.70259303	31709.4685	3.15E-05	29.70099215	30.2277305	68.26192874	56.69443974	186.6365751	6423.331291	0.000155682	43.47918376	46.07948449	93.66538065	67.7523268	310.6330434
625	16.90826932	31478.32079	3.18E-05	29.8414615	30.37860163	68.49309105	56.8804191	192.2711353	6566.112724	0.000152297	43.37675618	45.95183675	93.41026725	68.16766092	323.2638988
626	17.11606446	31240.50939	3.20E-05	29.98438095	30.5322614	68.72815618	57.08524872	198.4794613	6714.490278	0.000148932	43.27048819	45.81961161	93.14884341	68.59566833	337.0678353
627	17.32600463	30995.47297	3.23E-05	30.12995357	30.68893857	68.96747026	57.31149309	205.349171	6868.904258	0.000145584	43.16010222	45.68248482	92.88062217	69.03766759	352.2215927
628	17.53811692	30742.58278	3.25E-05	30.27840687	30.84888974	69.2114216	57.5621669	212.9845995	7029.853647	0.00014225	43.04528421	45.54008962	92.60505198	69.49520447	368.9398559
629	17.75242942	30481.13494	3.28E-05	30.42999585	31.01240295	69.46044606	57.84081579	221.5105495	7197.907715	0.000138929	42.92567634	45.39200824	92.32150376	69.97010542	387.486067
630	17.96897139	30210.34255	3.31E-05	30.58500628	31.17980163	69.71503298	58.15160544	231.0770759	7373.720781	0.000135617	42.80086778	45.23776117	92.02925445	70.4645474	408.1871541
631	18.18777354	29929.32755	3.34E-05	30.74375845	31.35144913	69.97573179	58.49941515	241.865731	7558.051244	0.000132309	42.67038273	45.07679319	91.72746564	70.98115007	431.4539393
632	18.4088683	29637.11264	3.37E-05	30.90661125	31.52775369	70.24315954	58.88992713	254.0980108	7751.786537	0.000129003	42.53366476	44.90845517	91.41515554	71.52310004	457.8099544
633	18.63229034	29332.61257	3.41E-05	31.07396732	31.70917464	70.51801001	59.32969735	268.0473741	7955.976279	0.000125692	42.39005593	44.73197974	91.09116183	72.09431997	487.932963
634	18.85807716	29014.62315	3.45E-05	31.24627981	31.8962306	70.80106602	59.8261871	284.0574865	8171.877326	0.000122371	42.23876848	44.54644839	90.75409093	72.69970454	522.7162663
635	19.08627004	28681.80324	3.49E-05	31.42406331	32.08951205	71.09321846	60.38773222	302.5719916	8401.016096	0.000119033	42.0788457	44.35074589	90.40224812	73.34545528	563.3616276
636	19.31691518	28332.63854	3.53E-05	31.60791282	32.28970302	71.39549938	61.02344197	324.1864399	8645.276848	0.00011567	41.90910664	44.14349607	90.03353876	74.03956725	611.5245192
637	19.55006523	27965.36431	3.58E-05	31.79853979	32.49762116	71.70914381	61.74307915	349.7435887	8907.029932	0.000112271	41.72806618	43.92296902	89.64532568	74.79255449	669.5492948
638	19.7857812	27577.80279	3.63E-05	31.99684068	32.71429382	72.03570717	62.55713136	380.51402	9189.323536	0.000108822	41.53381647	43.68694353	89.23421769	75.61856359	740.8659494
639	20.02413454	27167.03627	3.68E-05	32.20402634	32.94110102	72.37728654	63.47762761	418.5456645	9496.180118	0.000105306	41.32384529	43.4324968	88.79574628	76.53714208	830.6928981
640	20.26520927	26728.78062	3.74E-05	32.4218601	33.18003944	72.73692891	64.52092992	467.3572225	9833.073402	0.000101698	41.09474753	43.15567075	88.32385283	77.57616425	947.3571062
641	20.50910348	26256.22362	3.81E-05	32.65309026	33.43420425	73.11937576	65.71505862	533.3822951	10207.73494	9.80E-05	40.8417445	42.85091731	87.81003577	78.77692452	1104.960409
642	20.75592935	25737.86916	3.89E-05	32.90224808	33.7086835	73.53244358	67.11714787	629.2546786	10631.60698	9.41E-05	40.55783311	42.51011835	87.24184365	80.20359831	1329.285173
643	21.00580984	25153.33891	3.98E-05	33.1772067	34.0123169	73.98973643	68.85525351	782.3448591	11122.68693	8.99E-05	40.2321536	42.12070894	86.59998843	81.9623934	1672.572581
644	21.25886842	24464.41051	4.09E-05	33.49253361	34.36150482	74.51651783	71.23739729	1061.284324	11711.77708	8.54E-05	39.84648681	41.66165698	85.85215784	84.24532501	2257.405429
645	21.51520865	23593.77859	4.24E-05	33.8775521	34.78945388	75.16395789	75.07437161	1681.731182	12458.90633	8.03E-05	39.3662824	41.09317625	84.93717087	87.45211619	3446.669412
646	21.77491075	22367.57784	4.47E-05	34.39928696	35.37279026	76.0501303	82.76810323	3685.626573	13514.19562	7.40E-05	38.70804911	40.31931117	83.70728342	92.70056936	6940.09367
647	22.03840571	19835.43776	5.04E-05	35.44981551	36.56087774	77.86845334	112.3152898	70354.54501	15903.63352	6.29E-05	37.32113668	38.70688325	81.18530885	113.0270235	96092.69085
