Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Phase
317	1								55013.46613	1.82E-05	3.305562914	3.323740281	11.22463794	73.01808448	75.26389704	liquid
318	1								54990.47492	1.82E-05	3.380820959	3.399005927	11.46169528	72.93376495	75.26744965	liquid
319	1								54967.098	1.82E-05	3.456082588	3.47427529	11.69802	72.8489077	75.27132984	liquid
320	1								54943.3402	1.82E-05	3.531348124	3.549548692	11.9336177	72.76352911	75.27552753	liquid
321	1								54919.20622	1.82E-05	3.606617882	3.624826448	12.16849388	72.67764543	75.28003365	liquid
322	1								54894.7006	1.82E-05	3.681892165	3.70010886	12.40265397	72.59127287	75.28484007	liquid
323	1								54869.82772	1.82E-05	3.757171273	3.775396226	12.63610335	72.50442752	75.28993955	liquid
324	1								54844.59186	1.82E-05	3.832455496	3.850688834	12.8688473	72.41712536	75.29532569	liquid
325	1								54818.99715	1.82E-05	3.907745119	3.925986971	13.10089104	72.32938231	75.30099287	liquid
326	1								54793.04759	1.83E-05	3.983040422	4.001290912	13.33223974	72.24121416	75.30693621	liquid
327	1								54766.74708	1.83E-05	4.058341679	4.076600934	13.56289848	72.1526366	75.31315155	liquid
328	1								54740.09938	1.83E-05	4.133649161	4.151917305	13.7928723	72.0636652	75.31963537	liquid
329	1								54713.10816	1.83E-05	4.208963137	4.227240293	14.0221662	71.97431541	75.32638475	liquid
330	1								54685.77696	1.83E-05	4.284283872	4.302570162	14.25078509	71.88460255	75.33339737	liquid
331	1								54658.10924	1.83E-05	4.359611628	4.377907175	14.47873386	71.79454183	75.34067146	liquid
332	1								54630.10832	1.83E-05	4.434946667	4.453251592	14.70601734	71.7041483	75.34820573	liquid
333	1								54601.77747	1.83E-05	4.510289251	4.528603673	14.9326403	71.61343688	75.35599939	liquid
334	1								54573.11983	1.83E-05	4.585639637	4.603963677	15.15860749	71.52242233	75.36405209	liquid
335	1								54544.13846	1.83E-05	4.660998088	4.679331863	15.38392361	71.43111926	75.37236389	liquid
336	1								54514.83633	1.83E-05	4.736364861	4.754708491	15.6085933	71.33954214	75.38093526	liquid
337	1								54485.21634	1.84E-05	4.811740218	4.830093821	15.83262118	71.24770525	75.38976701	liquid
338	1								54455.28129	1.84E-05	4.887124421	4.905488112	16.05601183	71.15562271	75.39886031	liquid
339	1								54425.03389	1.84E-05	4.962517731	4.980891629	16.27876979	71.06330848	75.40821663	liquid
340	1								54394.47679	1.84E-05	5.037920414	5.056304634	16.50089956	70.97077632	75.41783775	liquid
341	1								54363.61257	1.84E-05	5.113332736	5.131727393	16.72240562	70.87803983	75.42772571	liquid
342	1								54332.44371	1.84E-05	5.188754966	5.207160175	16.94329239	70.7851124	75.43788282	liquid
343	1								54300.97264	1.84E-05	5.264187373	5.282603249	17.16356429	70.69200726	75.44831161	liquid
344	1								54269.20171	1.84E-05	5.339630232	5.35805689	17.38322569	70.59873742	75.45901485	liquid
345	1								54237.13322	1.84E-05	5.415083819	5.433521372	17.60228094	70.50531572	75.46999549	liquid
346	1								54204.76938	1.84E-05	5.490548413	5.508996974	17.82073434	70.41175479	75.48125668	liquid
347	1								54172.11235	1.85E-05	5.566024297	5.58448398	18.0385902	70.31806704	75.49280174	liquid
348	1								54139.16422	1.85E-05	5.641511757	5.659982673	18.25585277	70.22426472	75.50463417	liquid
349	1								54105.92703	1.85E-05	5.717011081	5.735493345	18.47252629	70.13035983	75.51675757	liquid
350	1								54072.40276	1.85E-05	5.792522565	5.811016287	18.68861496	70.03636419	75.52917573	liquid
351	1								54038.59332	1.85E-05	5.868046503	5.886551796	18.90412297	69.94228942	75.54189253	liquid
352	1								54004.50057	1.85E-05	5.943583198	5.962100173	19.11905448	69.8481469	75.55491196	liquid
353	1								53970.12633	1.85E-05	6.019132953	6.037661722	19.33341362	69.75394782	75.56823815	liquid
354	1								53935.47233	1.85E-05	6.094696079	6.113236753	19.5472045	69.65970317	75.58187528	liquid
355	1								53900.54029	1.86E-05	6.170272888	6.188825578	19.76043122	69.5654237	75.59582766	liquid
356	1								53865.33185	1.86E-05	6.245863698	6.264428515	19.97309784	69.47111998	75.61009964	liquid
357	1								53829.84862	1.86E-05	6.321468831	6.340045885	20.18520841	69.37680233	75.62469567	liquid
358	1								53794.09213	1.86E-05	6.397088613	6.415678015	20.39676694	69.2824809	75.63962026	liquid
359	1								53758.06391	1.86E-05	6.472723376	6.491325237	20.60777745	69.1881656	75.65487796	liquid
360	1								53721.76539	1.86E-05	6.548373455	6.566987884	20.81824391	69.09386615	75.67047341	liquid
361	1								53685.198	1.86E-05	6.624039189	6.642666298	21.02817028	68.99959204	75.68641127	liquid
362	1								53648.3631	1.86E-05	6.699720924	6.718360822	21.23756052	68.90535257	75.70269625	liquid
363	1								53611.262	1.87E-05	6.77541901	6.794071807	21.44641853	68.81115681	75.7193331	liquid
364	1								53573.89599	1.87E-05	6.8511338	6.869799607	21.65474822	68.71701365	75.73632661	liquid
365	1								53536.2663	1.87E-05	6.926865654	6.945544581	21.86255348	68.62293176	75.75368161	liquid
366	1								53498.37412	1.87E-05	7.002614936	7.021307093	22.06983817	68.5289196	75.77140293	liquid
367	1								53460.2206	1.87E-05	7.078382014	7.097087511	22.27660614	68.43498545	75.78949546	liquid
368	1								53421.80687	1.87E-05	7.154167261	7.172886209	22.48286122	68.34113736	75.8079641	liquid
369	1								53383.13398	1.87E-05	7.229971058	7.248703566	22.68860722	68.24738322	75.82681377	liquid
370	1								53344.20298	1.87E-05	7.305793786	7.324539965	22.89384792	68.15373068	75.8460494	liquid
371	1								53305.01485	1.88E-05	7.381635834	7.400395795	23.09858712	68.06018723	75.86567597	liquid
372	1								53265.57056	1.88E-05	7.457497596	7.476271449	23.30282856	67.96676015	75.88569845	liquid
373	1								53225.87103	1.88E-05	7.53337947	7.552167326	23.50657599	67.87345654	75.90612183	liquid
374	1								53185.91713	1.88E-05	7.609281858	7.628083828	23.70983313	67.78028331	75.92695113	liquid
375	1								53145.70971	1.88E-05	7.68520517	7.704021365	23.9126037	67.68724717	75.94819136	liquid
376	1								53105.24959	1.88E-05	7.761149819	7.779980349	24.11489138	67.59435467	75.96984757	liquid
377	1								53064.53755	1.88E-05	7.837116223	7.8559612	24.31669985	67.50161217	75.99192481	liquid
378	1								53023.57431	1.89E-05	7.913104805	7.931964341	24.51803278	67.40902585	76.01442815	liquid
379	1								52982.3606	1.89E-05	7.989115994	8.0079902	24.71889381	67.31660172	76.03736267	liquid
380	1								52940.89708	1.89E-05	8.065150223	8.084039212	24.91928656	67.22434562	76.06073347	liquid
381	1								52899.18439	1.89E-05	8.141207931	8.160111814	25.11921466	67.13226321	76.08454566	liquid
382	1								52857.22314	1.89E-05	8.217289562	8.236208452	25.3186817	67.04035998	76.10880437	liquid
383	1								52815.0139	1.89E-05	8.293395564	8.312329574	25.51769127	66.94864128	76.13351475	liquid
384	1								52772.5572	1.89E-05	8.369526391	8.388475634	25.71624693	66.85711229	76.15868196	liquid
