Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
339	2								54449	1.84E-05	4.9591	4.9958	16.269	71.024	75.369	1557.3	-0.19759	428.48	0.66066	liquid
340	2								54419	1.84E-05	5.0344	5.0712	16.491	70.932	75.379	1557.6	-0.19704	422.45	0.66151	liquid
341	2								54388	1.84E-05	5.1098	5.1465	16.712	70.84	75.389	1557.9	-0.1965	416.56	0.66234	liquid
342	2								54357	1.84E-05	5.1851	5.2219	16.933	70.747	75.399	1558.2	-0.19596	410.81	0.66315	liquid
343	2								54325	1.84E-05	5.2605	5.2973	17.153	70.655	75.409	1558.4	-0.19541	405.2	0.66394	liquid
344	2								54294	1.84E-05	5.3359	5.3728	17.372	70.562	75.42	1558.5	-0.19487	399.71	0.66472	liquid
345	2								54262	1.84E-05	5.4113	5.4482	17.591	70.469	75.431	1558.6	-0.19433	394.35	0.66547	liquid
346	2								54229	1.84E-05	5.4867	5.5236	17.81	70.375	75.442	1558.7	-0.19378	389.11	0.66621	liquid
347	2								54197	1.85E-05	5.5622	5.5991	18.027	70.282	75.454	1558.8	-0.19324	383.98	0.66693	liquid
348	2								54164	1.85E-05	5.6376	5.6745	18.245	70.189	75.466	1558.8	-0.19269	378.97	0.66763	liquid
349	2								54131	1.85E-05	5.713	5.75	18.461	70.095	75.478	1558.7	-0.19214	374.07	0.66832	liquid
350	2								54097	1.85E-05	5.7885	5.8255	18.677	70.002	75.49	1558.7	-0.1916	369.28	0.66899	liquid
351	2								54063	1.85E-05	5.864	5.901	18.893	69.908	75.503	1558.6	-0.19105	364.59	0.66964	liquid
352	2								54029	1.85E-05	5.9395	5.9765	19.107	69.814	75.516	1558.4	-0.1905	360	0.67027	liquid
353	2								53995	1.85E-05	6.015	6.052	19.322	69.72	75.529	1558.2	-0.18995	355.51	0.67089	liquid
354	2								53960	1.85E-05	6.0905	6.1275	19.535	69.626	75.543	1558	-0.1894	351.12	0.67149	liquid
355	2								53925	1.85E-05	6.166	6.2031	19.748	69.532	75.557	1557.8	-0.18885	346.82	0.67208	liquid
356	2								53890	1.86E-05	6.2415	6.2787	19.961	69.438	75.571	1557.5	-0.18829	342.61	0.67264	liquid
357	2								53855	1.86E-05	6.3171	6.3542	20.173	69.344	75.585	1557.1	-0.18774	338.48	0.6732	liquid
358	2								53819	1.86E-05	6.3927	6.4298	20.384	69.25	75.6	1556.8	-0.18718	334.44	0.67374	liquid
359	2								53783	1.86E-05	6.4682	6.5054	20.595	69.156	75.615	1556.4	-0.18662	330.49	0.67426	liquid
360	2								53747	1.86E-05	6.5438	6.5811	20.806	69.062	75.631	1555.9	-0.18606	326.62	0.67477	liquid
361	2								53710	1.86E-05	6.6195	6.6567	21.015	68.968	75.647	1555.5	-0.1855	322.82	0.67526	liquid
362	2								53674	1.86E-05	6.6951	6.7324	21.225	68.874	75.663	1555	-0.18494	319.1	0.67574	liquid
363	2								53637	1.86E-05	6.7707	6.808	21.433	68.781	75.679	1554.4	-0.18437	315.46	0.6762	liquid
364	2								53599	1.87E-05	6.8464	6.8837	21.642	68.687	75.696	1553.9	-0.18381	311.88	0.67665	liquid
365	2								53562	1.87E-05	6.9221	6.9594	21.849	68.593	75.714	1553.3	-0.18324	308.38	0.67708	liquid
366	2								53524	1.87E-05	6.9978	7.0351	22.057	68.499	75.731	1552.7	-0.18267	304.95	0.67751	liquid
367	2								53486	1.87E-05	7.0735	7.1109	22.263	68.406	75.749	1552	-0.18209	301.58	0.67791	liquid
368	2								53447	1.87E-05	7.1492	7.1866	22.469	68.312	75.767	1551.3	-0.18152	298.28	0.67831	liquid
369	2								53409	1.87E-05	7.225	7.2624	22.675	68.219	75.786	1550.6	-0.18094	295.04	0.67869	liquid
370	2								53370	1.87E-05	7.3007	7.3382	22.88	68.125	75.805	1549.8	-0.18036	291.87	0.67906	liquid
371	2								53331	1.88E-05	7.3765	7.414	23.085	68.032	75.825	1549	-0.17977	288.75	0.67941	liquid
372	2								53291	1.88E-05	7.4523	7.4899	23.289	67.939	75.845	1548.2	-0.17919	285.7	0.67975	liquid
373	2								53252	1.88E-05	7.5282	7.5657	23.493	67.846	75.865	1547.4	-0.1786	282.7	0.68008	liquid
374	2								53212	1.88E-05	7.604	7.6416	23.696	67.753	75.886	1546.5	-0.17801	279.75	0.6804	liquid
375	2								53172	1.88E-05	7.6799	7.7175	23.898	67.66	75.907	1545.6	-0.17742	276.86	0.6807	liquid
376	2								53131	1.88E-05	7.7558	7.7934	24.101	67.567	75.928	1544.6	-0.17682	274.03	0.681	liquid
377	2								53091	1.88E-05	7.8317	7.8693	24.302	67.475	75.95	1543.7	-0.17622	271.24	0.68128	liquid
378	2								53050	1.89E-05	7.9076	7.9453	24.503	67.383	75.972	1542.7	-0.17562	268.51	0.68155	liquid
379	2								53009	1.89E-05	7.9836	8.0213	24.704	67.29	75.995	1541.6	-0.17501	265.83	0.6818	liquid
380	2								52967	1.89E-05	8.0595	8.0973	24.904	67.198	76.018	1540.6	-0.1744	263.19	0.68205	liquid
381	2								52926	1.89E-05	8.1355	8.1733	25.104	67.107	76.042	1539.5	-0.17379	260.6	0.68228	liquid
382	2								52884	1.89E-05	8.2116	8.2494	25.304	67.015	76.066	1538.4	-0.17317	258.06	0.6825	liquid
383	2								52842	1.89E-05	8.2876	8.3255	25.503	66.924	76.09	1537.2	-0.17255	255.56	0.68272	liquid
384	2								52799	1.89E-05	8.3637	8.4016	25.701	66.832	76.115	1536.1	-0.17193	253.11	0.68292	liquid
385	2								52757	1.90E-05	8.4398	8.4777	25.899	66.741	76.141	1534.9	-0.1713	250.7	0.6831	liquid
386	2								52714	1.90E-05	8.5159	8.5538	26.097	66.65	76.167	1533.7	-0.17067	248.33	0.68328	liquid
387	2								52671	1.90E-05	8.592	8.63	26.294	66.56	76.193	1532.4	-0.17004	246	0.68345	liquid
388	2								52627	1.90E-05	8.6682	8.7062	26.49	66.469	76.22	1531.1	-0.1694	243.71	0.68361	liquid
389	2								52584	1.90E-05	8.7444	8.7825	26.687	66.379	76.247	1529.8	-0.16876	241.46	0.68376	liquid
390	2								52540	1.90E-05	8.8207	8.8587	26.882	66.289	76.275	1528.5	-0.16811	239.25	0.68389	liquid
391	2								52496	1.90E-05	8.8969	8.935	27.078	66.199	76.303	1527.1	-0.16746	237.08	0.68402	liquid
392	2								52452	1.91E-05	8.9732	9.0113	27.273	66.109	76.332	1525.7	-0.16681	234.94	0.68413	liquid
393	2								52407	1.91E-05	9.0495	9.0877	27.467	66.02	76.361	1524.3	-0.16615	232.84	0.68424	liquid
394	2								52362	1.91E-05	9.1259	9.164	27.661	65.931	76.391	1522.9	-0.16548	230.77	0.68434	liquid
395	2								52317	1.91E-05	9.2022	9.2405	27.855	65.842	76.421	1521.4	-0.16482	228.74	0.68442	liquid
396	2								52272	1.91E-05	9.2786	9.3169	28.048	65.753	76.452	1519.9	-0.16414	226.74	0.6845	liquid
397	2								52226	1.91E-05	9.3551	9.3934	28.241	65.665	76.483	1518.4	-0.16347	224.77	0.68457	liquid
398	2								52181	1.92E-05	9.4315	9.4699	28.433	65.576	76.515	1516.9	-0.16279	222.83	0.68462	liquid
399	2								52135	1.92E-05	9.508	9.5464	28.625	65.489	76.547	1515.3	-0.1621	220.93	0.68467	liquid
400	2								52088	1.92E-05	9.5846	9.6229	28.817	65.401	76.58	1513.7	-0.16141	219.06	0.68471	liquid
401	2								52042	1.92E-05	9.6611	9.6995	29.008	65.313	76.613	1512.1	-0.16071	217.21	0.68474	liquid
402	2								51995	1.92E-05	9.7377	9.7762	29.199	65.226	76.647	1510.4	-0.16001	215.4	0.68476	liquid
403	2								51948	1.93E-05	9.8143	9.8528	29.39	65.139	76.682	1508.8	-0.15931	213.61	0.68477	liquid
404	2								51901	1.93E-05	9.891	9.9295	29.58	65.053	76.717	1507.1	-0.15859	211.85	0.68477	liquid
405	2								51853	1.93E-05	9.9677	10.006	29.77	64.966	76.752	1505.4	-0.15788	210.12	0.68476	liquid
406	2								51806	1.93E-05	10.044	10.083	29.959	64.88	76.789	1503.6	-0.15715	208.42	0.68474	liquid
407	2								51758	1.93E-05	10.121	10.16	30.148	64.794	76.825	1501.8	-0.15643	206.74	0.68472	liquid
408	2								51710	1.93E-05	10.198	10.237	30.336	64.709	76.863	1500.1	-0.15569	205.09	0.68468	liquid
409	2								51661	1.94E-05	10.275	10.314	30.525	64.623	76.901	1498.2	-0.15495	203.46	0.68464	liquid
410	2								51612	1.94E-05	10.352	10.39	30.712	64.538	76.939	1496.4	-0.15421	201.85	0.68458	liquid
411	2								51564	1.94E-05	10.429	10.467	30.9	64.453	76.978	1494.5	-0.15346	200.28	0.68452	liquid
412	2								51514	1.94E-05	10.506	10.544	31.087	64.369	77.018	1492.6	-0.1527	198.72	0.68445	liquid
